नागरिकता जारी जिल्ला,count
सलाह,4
गोरखा,3
चतवन,3
सरहा,3
धनुषा,3
बाँके,2
सधुपाचोक,2
खस आय काठमाड,2
खस आय उदयपुर,2
दाङ,2
काठमाड,2
भतपुर,2
आदवासी जनजात काठमाड,2
आदवासी जनजात ललतपुर,2
महोर,2
मधेशी धनुषा,2
मधेशी महोर,2
दलत कैलाल,2
बालुङ,1
काक,1
युठान,1
सतर,1
सधुल,1
सोलुखु ब ु,1
कालकोट,1
धादङ,1
लजुङ,1
पसा,1
खस आय काक,1
खस आय रामेछाप,1
खस आय सुखत,1
खस आय झापा,1
खस आय दोलखा,1
खस आय बालुङ,1
खस आय याजा,1
खस आय जाजरकोट,1
खस आय सधुल,1
खस आय कैलाल,1
खस आय कालकोट,1
खस आय जु ला,1
ओखलढुंगा,1
काेपलाचोक,1
मोरङ,1
कुम पूव,1
ते थुम,1
रामेछाप,1
उदयपुर,1
झापा,1
ललतपुर,1
आदवासी जनजात बालुङ,1
