नागरिकता जारी जिल्ला,count
सरहा,8
पदेह,7
आदवासी जनजात सरहा,4
महोर,4
धनुषा,4
रौतहट,4
आदवासी जनजात मोरङ,3
सतर,3
मोरङ,3
मकवानपुर,3
खस आय काठमाड,3
बारा,3
कपलवतु,3
आदवासी जनजात सलाह,2
सलाह,2
बझाङ,2
काठमाड,2
खस आय मोरङ,2
खस आय काेपलाचोक,2
था मोरङ,2
नवलपरासी (बदघाट सुता,2
दलत सरहा,2
दलत सतर,2
मधेशी बाँके,2
आदवासी जनजात सतर,1
आदवासी जनजात सुनसर,1
आदवासी जनजात महोर,1
आदवासी जनजात पदेह,1
आदवासी जनजात धनुषा,1
आदवासी जनजात कचनपुर,1
आदवासी जनजात काेपलाचोक,1
दाङ,1
काेपलाचोक,1
याजा,1
चतवन,1
नुवाकोट,1
हुला,1
खस आय पदेह,1
खस आय बारा,1
खस आय धनुषा,1
खस आय चतवन,1
खस आय सुनसर,1
सुनसर,1
खस आय अछाम,1
खस आय बझाङ,1
था नवलपरासी (बदघाट सुता,1
दलत पसा,1
दलत धनुषा,1
पसा,1
बदया,1
